trade_date,ts_code,name,type,quality,close,target_pe,target_div_yield,dps_recent_fy,dps_fiscal_year,eps_last_annual,eps_natural_year_est,eps_growth_est,pe_natural_year,pe_static,pe_ttm_ref,pe_price,div_price,base_price,buy_price,signal,dv_ttm_ref,pb_ref,total_mv_yi
20260812,601818.SH,光大银行,股份行,一般,3.03,6.67,5.0,0.175,2025,0.58,0.54,0.5532584083401892,5.61,4.61,4.73,3.602,3.5,3.5,3.675,射击范围,5.78,0.35,1790.0
20260812,600016.SH,民生银行,股份行,一般,3.49,6.67,5.0,0.189,2025,0.63,0.613,0.6122573723591549,5.69,5.0,5.21,4.089,3.78,3.78,3.969,射击范围,5.42,0.27,1528.0
20260812,002807.SZ,江阴银行,农商行,一般,3.92,6.67,4.5,0.22,2025,0.8326,0.9488,0.9147799619337373,4.13,5.18,5.16,6.329,4.889,4.889,5.109,射击范围,5.1,0.53,106.0
20260812,603323.SH,苏农银行,农商行,一般,4.17,6.67,4.5,0.21,2025,1.01,1.198,1.1394233482761618,3.48,4.53,4.48,7.991,4.667,4.667,4.877,射击范围,4.58,0.48,93.0
20260812,002839.SZ,张家港行,农商行,一般,4.32,6.67,4.5,0.22,2025,0.77,0.816,0.7837562159323004,5.29,5.34,5.3,5.443,4.889,4.889,5.109,射击范围,5.09,0.55,106.0
20260812,601169.SH,北京银行,城商行,一般,5.01,6.67,5.0,0.278,2025,0.78,0.861,0.7366362141753192,5.82,5.27,5.16,5.743,5.56,5.56,5.838,射击范围,5.55,0.37,1059.0
20260812,601997.SH,贵阳银行,城商行,一般,5.62,6.67,4.5,0.3,2025,1.37,1.241,1.308965221540114,4.53,3.91,3.89,8.277,6.667,6.667,6.967,射击范围,5.34,0.31,205.0
20260812,601128.SH,常熟银行,农商行,优秀,6.11,7.67,3.5,0.27,2025,1.27,1.466,1.4312698412698412,4.17,5.28,5.14,11.244,7.714,7.714,7.984,射击范围,4.02,0.7,223.0
20260812,600015.SH,华夏银行,股份行,一般,6.69,6.67,5.0,0.42000000000000004,2025,1.62,1.719,1.6964716499716501,3.89,3.91,3.93,11.466,8.4,8.4,8.82,射击范围,6.28,0.33,1065.0
20260812,601998.SH,中信银行,股份行,一般,7.6,6.67,5.0,0.381,2025,1.2,1.275,1.233911969232093,5.96,5.99,5.94,8.504,7.62,7.62,8.001,射击范围,5.01,0.57,4229.0
20260812,601825.SH,沪农商行,农商行,一般,8.3,6.67,5.0,0.435,2025,1.28,1.365,1.3365213558831461,6.08,6.5,6.49,9.105,8.7,8.7,9.135,射击范围,5.24,0.61,800.0
20260812,601577.SH,长沙银行,城商行,优秀,9.19,7.67,4.0,0.43000000000000005,2025,1.93,2.054,2.039501975161973,4.47,4.56,4.49,15.754,10.75,10.75,11.18,射击范围,4.68,0.5,370.0
20260812,601229.SH,上海银行,城商行,一般,9.27,6.67,5.0,0.52,2025,1.65,1.684,1.695587498343932,5.5,5.44,5.43,11.232,10.4,10.4,10.92,射击范围,5.61,0.52,1317.0
20260812,601009.SH,南京银行,城商行,优秀,11.23,7.67,4.5,0.52915,2025,1.76,1.867,1.825312256049961,6.01,6.37,6.23,14.32,11.759,11.759,12.288,射击范围,4.71,0.74,1388.0
20260812,000001.SZ,平安银行,股份行,一般,11.25,6.67,4.0,0.596,2025,2.07,2.269,2.180098035232008,4.96,5.12,5.07,15.134,14.9,14.9,15.496,射击范围,5.3,0.47,2183.0
20260812,600919.SH,江苏银行,城商行,优秀,11.67,7.67,4.0,0.5641,2025,1.76,1.927,1.9454873139680833,6.06,6.21,6.07,14.78,14.103,14.103,14.667,射击范围,4.83,0.81,2142.0
20260812,600926.SH,杭州银行,城商行,优秀,15.93,7.67,3.5,0.66,2025,2.66,3.205,3.124812035915901,4.97,6.07,5.88,24.582,18.857,18.857,19.517,射击范围,4.14,0.82,1155.0
20260812,601166.SH,兴业银行,股份行,优秀,18.1,7.67,4.0,1.0659999999999998,2025,3.46,3.297,3.404231397274501,5.49,4.94,4.94,25.288,26.65,25.288,26.354,射击范围,5.89,0.46,3830.0
20260812,601838.SH,成都银行,城商行,优秀,18.15,7.67,4.0,0.921,2025,3.07,3.593,3.401342838909272,5.05,5.79,5.73,27.558,23.025,23.025,23.946,射击范围,5.07,0.84,769.0
20260812,002142.SZ,宁波银行,城商行,优秀,32.04,7.67,3.0,1.2,2025,4.29,4.567,4.6425832411471735,7.02,7.21,7.03,35.029,40.0,35.029,36.229,射击范围,3.75,0.91,2116.0
20260812,600036.SH,招商银行,股份行,优秀,38.7,7.67,3.5,2.016,2025,5.7,6.146,6.018823473301402,6.3,6.5,6.47,47.14,57.6,47.14,49.156,射击范围,5.21,0.86,9760.0
20260812,601528.SH,瑞丰银行,农商行,一般,4.85,6.67,4.5,0.21,2025,1.0,1.009,1.0350407790721745,4.81,4.84,4.85,6.73,4.667,4.667,4.877,参考上车,4.33,0.47,95.0
20260812,600908.SH,无锡银行,农商行,一般,5.41,6.67,4.5,0.24,2025,1.01,1.068,1.0732905940153838,5.07,5.14,5.1,7.124,5.333,5.333,5.573,参考上车,4.44,0.51,119.0
20260812,601077.SH,渝农商行,农商行,一般,6.53,6.67,5.0,0.32091000000000003,2025,1.05,1.098,1.1102440478777738,5.95,6.11,6.02,7.324,6.418,6.418,6.739,参考上车,4.91,0.55,742.0
20260812,002936.SZ,郑州银行,城商行,一般,1.78,6.67,4.5,0.02,2024,0.16,0.084,0.13856684491978608,21.19,8.54,8.3,0.56,0.444,0.444,0.464,等待 · 需跌73.9%,,0.35,162.0
20260812,001227.SZ,兰州银行,城商行,一般,2.15,6.67,4.5,0.08,2025,0.2853,0.3,0.2925186452214695,7.17,6.57,6.66,2.001,1.778,1.778,1.858,等待 · 需跌13.6%,3.72,0.4,122.0
20260812,601860.SH,紫金银行,农商行,一般,2.55,6.67,4.5,0.1,2025,0.34,0.372,0.3269013303769402,6.85,7.5,7.46,2.481,2.222,2.222,2.322,等待 · 需跌8.9%,3.92,0.46,93.0
20260812,601916.SH,浙商银行,股份行,一般,2.91,6.67,5.0,0.131,2025,0.44,0.45,0.41739208598419125,6.47,6.18,6.16,3.001,2.62,2.62,2.751,等待 · 需跌5.5%,4.5,0.44,799.0
20260812,002958.SZ,青农商行,农商行,一般,2.98,6.67,4.5,0.12,2025,0.52,0.486,0.5276282622589327,6.13,5.29,5.18,3.242,2.667,2.667,2.787,等待 · 需跌6.5%,4.03,0.44,166.0
20260812,600928.SH,西安银行,城商行,一般,3.55,6.67,4.5,0.1,2025,0.6,0.573,0.5943066129273026,6.2,5.95,5.86,3.822,2.222,2.222,2.322,等待 · 需跌34.6%,2.82,0.44,158.0
20260812,601658.SH,邮储银行,国有大行,一般,4.93,6.67,5.0,0.2183,2025,0.73,0.758,0.7196618057616758,6.5,6.77,6.74,5.056,4.366,4.366,4.584,等待 · 需跌7.0%,4.43,0.57,5921.0
20260812,002948.SZ,青岛银行,城商行,一般,5.71,6.67,4.5,0.18,2025,0.85,0.89,0.9756788710907704,6.42,6.41,6.09,5.936,4.0,4.0,4.18,等待 · 需跌26.8%,3.15,0.78,332.0
20260812,601988.SH,中国银行,国有大行,一般,5.83,6.67,5.5,0.2263,2025,0.74,0.762,0.7504961513372471,7.65,7.73,7.66,5.083,4.115,4.115,4.341,等待 · 需跌25.5%,3.88,0.69,18785.0
20260812,601665.SH,齐鲁银行,城商行,一般,6.21,6.67,4.5,0.2492,2025,1.0,1.13,1.1195690464262467,5.5,6.69,6.47,7.537,5.538,5.538,5.787,等待 · 需跌6.8%,4.01,0.76,382.0
20260812,601288.SH,农业银行,国有大行,一般,6.44,6.67,5.5,0.2495,2025,0.78,0.814,0.8164032608695653,7.91,7.74,7.66,5.429,4.536,4.536,4.785,等待 · 需跌25.7%,3.87,0.8,22539.0
20260812,601328.SH,交通银行,国有大行,一般,6.91,6.67,5.5,0.3247,2025,1.08,1.12,1.0759137393025975,6.17,6.39,6.33,7.47,5.904,5.904,6.229,等待 · 需跌9.9%,4.7,0.52,6106.0
20260812,601187.SH,厦门银行,城商行,一般,7.34,6.67,4.5,0.25,2025,0.9,0.947,0.9292468398876405,7.75,7.35,7.22,6.316,5.556,5.556,5.806,等待 · 需跌20.9%,3.41,0.71,194.0
