trade_date,ts_code,name,type,quality,close,target_pe,target_div_yield,dps_recent_fy,dps_fiscal_year,eps_last_annual,eps_natural_year_est,eps_growth_est,pe_natural_year,pe_static,pe_ttm_ref,pe_price,div_price,base_price,buy_price,signal,dv_ttm_ref,pb_ref,total_mv_yi
20260904,002839.SZ,张家港行,农商行,一般,4.41,6.67,4.5,0.22,2025,0.77,0.816,0.7837562159323004,5.4,5.45,5.37,5.443,4.889,4.889,5.109,射击范围,4.99,0.56,108.0
20260904,601997.SH,贵阳银行,城商行,一般,5.62,6.67,4.5,0.3,2025,1.37,1.241,1.308965221540114,4.53,3.91,4.0,8.277,6.667,6.667,6.967,射击范围,5.34,0.31,205.0
20260904,600015.SH,华夏银行,股份行,一般,6.32,6.67,5.0,0.42000000000000004,2025,1.62,1.719,1.6964716499716501,3.68,3.7,4.01,11.466,8.4,8.4,8.82,射击范围,6.65,0.31,1006.0
20260904,601128.SH,常熟银行,农商行,优秀,6.42,7.67,3.5,0.27,2025,1.27,1.466,1.4312698412698412,4.38,5.55,5.29,11.244,7.714,7.714,7.984,射击范围,3.82,0.71,234.0
20260904,600919.SH,江苏银行,城商行,优秀,12.28,7.67,4.0,0.5641,2025,1.76,1.927,1.9454873139680833,6.37,6.53,6.24,14.78,14.103,14.103,14.667,射击范围,4.59,0.83,2254.0
20260904,601166.SH,兴业银行,股份行,优秀,18.22,7.67,4.0,1.0659999999999998,2025,3.46,3.297,3.404231397274501,5.53,4.98,5.11,25.288,26.65,25.288,26.354,射击范围,5.85,0.46,3856.0
20260904,600036.SH,招商银行,股份行,优秀,41.69,7.67,3.5,2.016,2025,5.7,6.146,6.018823473301402,6.78,7.0,6.93,47.14,57.6,47.14,49.156,射击范围,4.84,0.92,10514.0
20260904,601009.SH,南京银行,城商行,优秀,11.98,7.67,4.5,0.52915,2025,1.76,1.867,1.825312256049961,6.42,6.79,6.49,14.32,11.759,11.759,12.288,参考上车,4.42,0.77,1481.0
20260904,002936.SZ,郑州银行,城商行,一般,1.8,6.67,4.5,0.02,2024,0.16,0.084,0.13856684491978608,21.43,8.64,8.42,0.56,0.444,0.444,0.464,等待 · 需跌74.2%,,0.35,164.0
20260904,001227.SZ,兰州银行,城商行,一般,2.16,6.67,4.5,0.08,2025,0.2853,0.3,0.2925186452214695,7.2,6.6,6.91,2.001,1.778,1.778,1.858,等待 · 需跌14.0%,3.7,0.4,123.0
20260904,601860.SH,紫金银行,农商行,一般,2.64,6.67,4.5,0.1,2025,0.34,0.372,0.3269013303769402,7.1,7.77,7.58,2.481,2.222,2.222,2.322,等待 · 需跌12.0%,3.79,0.46,97.0
20260904,601916.SH,浙商银行,股份行,一般,2.97,6.67,5.0,0.131,2025,0.44,0.45,0.41739208598419125,6.6,6.31,6.23,3.001,2.62,2.62,2.751,等待 · 需跌7.4%,4.41,0.45,816.0
20260904,002958.SZ,青农商行,农商行,一般,3.01,6.67,4.5,0.12,2025,0.52,0.486,0.5276282622589327,6.19,5.35,5.24,3.242,2.667,2.667,2.787,等待 · 需跌7.4%,3.99,0.44,167.0
20260904,601818.SH,光大银行,股份行,一般,3.05,6.67,5.0,0.081,2026,0.58,0.54,0.5532584083401892,5.65,4.64,5.47,3.602,1.62,1.62,1.701,等待 · 需跌44.2%,5.74,0.35,1802.0
20260904,600928.SH,西安银行,城商行,一般,3.58,6.67,4.5,0.1,2025,0.6,0.573,0.5943066129273026,6.25,6.0,5.93,3.822,2.222,2.222,2.322,等待 · 需跌35.1%,2.79,0.44,159.0
